id,original_path,suggested_filename,area,status,confidence,size,notes,renamed_path
MKT-01-jira-public-home-long-page,Khôi/Jira1_Home.jpeg,MKT-01-jira-public-home-long-page.jpeg,Marketing / public Jira website,out_of_scope_for_project_app,medium,935x3918,"Trang marketing/home rất dài; chỉ dùng nếu cần clone landing page, không dùng để suy ra project app.",renamed_screenshots/Marketing/MKT-01-jira-public-home-long-page.jpeg
AUTH-01-jira-signup-page,Khôi/Jira2_signup.jpeg,AUTH-01-jira-signup-page.jpeg,Authentication / signup,needs_more_for_auth,high,1763x2561,Có màn signup nhưng chưa đủ login/register/forgot password theo luồng auth đầy đủ.,renamed_screenshots/Authentication/AUTH-01-jira-signup-page.jpeg
AUTH-02-select-site-to-join-space-modal,Khôi/Jira3_SelectSiteToJoinSpace.jpeg,AUTH-02-select-site-to-join-space-modal.jpeg,Authentication / onboarding,usable,high,1763x844,Modal chọn site/space sau đăng nhập/đăng ký.,renamed_screenshots/Authentication/AUTH-02-select-site-to-join-space-modal.jpeg
DASH-02-dashboard-create-modal,Kiệt/Dashboard_Create.png,DASH-02-dashboard-create-modal.png,Dashboard,usable,high,1919x905,Modal tạo dashboard.,renamed_screenshots/Dashboard/DASH-02-dashboard-create-modal.png
DASH-05-dashboard-edit-view,Kiệt/Dashboard_Edit.png,DASH-05-dashboard-edit-view.png,Dashboard,usable,high,1919x907,Màn dashboard edit với gadget/layout.,renamed_screenshots/Dashboard/DASH-05-dashboard-edit-view.png
DASH-04-dashboard-add-gadget-panel,Kiệt/Dashboard_Gadgets.png,DASH-04-dashboard-add-gadget-panel.png,Dashboard,usable,high,381x715,Panel add gadget.,renamed_screenshots/Dashboard/DASH-04-dashboard-add-gadget-panel.png
DASH-03-dashboard-layout-dropdown,Kiệt/Dashboard_Layouts.png,DASH-03-dashboard-layout-dropdown.png,Dashboard,usable,high,405x106,Dropdown đổi layout dashboard.,renamed_screenshots/Dashboard/DASH-03-dashboard-layout-dropdown.png
DASH-01-dashboard-list,Kiệt/Dashboard_List.png,DASH-01-dashboard-list.png,Dashboard,usable,high,1919x902,Danh sách dashboard dark mode.,renamed_screenshots/Dashboard/DASH-01-dashboard-list.png
BACKLOG-01-project-backlog-light,Old/Backlog1.jpeg,BACKLOG-01-project-backlog-light.png,Project tab / Backlog,usable,medium,1763x844,Ảnh backlog light mode.,renamed_screenshots/Project_tab/BACKLOG-01-project-backlog-light.png
BACKLOG-02-project-backlog-with-detail-panel-light,Old/Backlog2.jpeg,BACKLOG-02-project-backlog-with-detail-panel-light.jpeg,Project tab / Backlog,usable,medium,1763x844,Backlog với panel detail bên phải.,renamed_screenshots/Project_tab/BACKLOG-02-project-backlog-with-detail-panel-light.jpeg
BOARD-01-project-board-light,Old/Board.jpeg,BOARD-01-project-board-light.jpeg,Project tab / Board,usable,medium,1763x844,Board light mode.,renamed_screenshots/Project_tab/BOARD-01-project-board-light.jpeg
CALENDAR-01-project-calendar-light,Old/Calendar.jpeg,CALENDAR-01-project-calendar-light.jpeg,Project tab / Calendar,usable,medium,1763x844,Calendar light mode với unscheduled work panel.,renamed_screenshots/Project_tab/CALENDAR-01-project-calendar-light.jpeg
DASH-08-dashboard-save-annotated,Old/DashBoard3_Lưu.png,DASH-08-dashboard-save-annotated.png,Dashboard,usable_annotated,medium,1858x867,Dashboard save/config annotated.,renamed_screenshots/Dashboard/DASH-08-dashboard-save-annotated.png
DASH-06-dashboard-create-modal-annotated,Old/Dashboard1-CreateDashboard.jpg,DASH-06-dashboard-create-modal-annotated.jpg,Dashboard,usable_annotated,medium,1913x802,Create dashboard modal có chú thích đỏ.,renamed_screenshots/Dashboard/DASH-06-dashboard-create-modal-annotated.jpg
DASH-07-dashboard-config-annotated,Old/Dashboard2-Cấu-Hình.png,DASH-07-dashboard-config-annotated.png,Dashboard,usable_annotated,medium,1771x867,Dashboard config/layout/gadget có chú thích đỏ.,renamed_screenshots/Dashboard/DASH-07-dashboard-config-annotated.png
DASH-09-dashboard-report-charts,Old/Dashboard4.png,DASH-09-dashboard-report-charts.png,Dashboard,usable,medium,1857x868,Dashboard charts layout.,renamed_screenshots/Dashboard/DASH-09-dashboard-report-charts.png
ISSUE-13-issue-detail-light-old,Old/Issue Detail1.jpeg,ISSUE-13-issue-detail-light-old.jpeg,Issue detail,usable,medium,1763x844,Old issue detail light mode.,renamed_screenshots/Issue_detail/ISSUE-13-issue-detail-light-old.jpeg
ISSUE-14-issue-detail-activity-light-old,Old/Issue Detail2.jpeg,ISSUE-14-issue-detail-activity-light-old.jpeg,Issue detail,usable,medium,1763x844,Old issue detail activity/metadata light mode.,renamed_screenshots/Issue_detail/ISSUE-14-issue-detail-activity-light-old.jpeg
REPORTS-02-project-reports-light-old,Old/Report.jpeg,REPORTS-02-project-reports-light-old.jpeg,Project tab / Reports,usable,medium,575x848,Report light mode old/cropped.,renamed_screenshots/Project_tab/REPORTS-02-project-reports-light-old.jpeg
GS-01-global-sidebar-annotated,Old/Sidebar Jira.png,GS-01-global-sidebar-annotated.png,Global shell / sidebar,usable_annotated,medium,3396x1760,Ảnh sidebar có đánh dấu/annotation; dùng để hiểu shell nếu thiếu ảnh sạch.,renamed_screenshots/Global_shell/GS-01-global-sidebar-annotated.png
SPRINT-01-project-sprint-view-light,Old/Sprint.jpeg,SPRINT-01-project-sprint-view-light.jpeg,Sprint / backlog,usable,medium,1763x844,Ảnh cũ sprint view light mode.,renamed_screenshots/Sprint/SPRINT-01-project-sprint-view-light.jpeg
TIMELINE-01-project-timeline-light,Old/Timeline.jpeg,TIMELINE-01-project-timeline-light.jpeg,Project tab / Timeline,usable,medium,1763x844,Ảnh cũ timeline light mode.,renamed_screenshots/Project_tab/TIMELINE-01-project-timeline-light.jpeg
ISSUE-12-activity-all-tab,Quân/Activity & All .png,ISSUE-12-activity-all-tab.png,Issue detail / activity,usable_annotated,high,1366x817,Activity all tab.,renamed_screenshots/Issue_detail/ISSUE-12-activity-all-tab.png
ISSUE-09-activity-comments-tab,Quân/Activity & Comments.png,ISSUE-09-activity-comments-tab.png,Issue detail / activity,usable_annotated,high,1366x768,Activity comments tab.,renamed_screenshots/Issue_detail/ISSUE-09-activity-comments-tab.png
ISSUE-10-activity-history-tab,Quân/Activity & History.png,ISSUE-10-activity-history-tab.png,Issue detail / activity,usable_annotated,high,1366x769,Activity history tab.,renamed_screenshots/Issue_detail/ISSUE-10-activity-history-tab.png
ISSUE-11-activity-worklog-tab,Quân/Activity & Worklog.png,ISSUE-11-activity-worklog-tab.png,Issue detail / activity,usable_annotated,high,1366x768,Activity worklog tab/empty.,renamed_screenshots/Issue_detail/ISSUE-11-activity-worklog-tab.png
ISSUE-08-attachments-section,Quân/Attachments.png,ISSUE-08-attachments-section.png,Issue detail / attachments,usable_annotated,high,1366x768,Attachments section.,renamed_screenshots/Issue_detail/ISSUE-08-attachments-section.png
ISSUE-01-full-issue-page,Quân/Full Issue Page.png,ISSUE-01-full-issue-page.png,Issue detail,usable,high,1366x768,Full issue detail page default.,renamed_screenshots/Issue_detail/ISSUE-01-full-issue-page.png
ISSUE-07-linked-work-items-section,Quân/Linked Work Items.png,ISSUE-07-linked-work-items-section.png,Issue detail / linked work items,usable_annotated,high,1357x768,Linked work items section.,renamed_screenshots/Issue_detail/ISSUE-07-linked-work-items-section.png
ISSUE-05-metadata-automation-panel,Quân/Metadata Panel & Automation.png,ISSUE-05-metadata-automation-panel.png,Issue detail / metadata,usable_annotated,high,1419x767,Metadata Automation panel.,renamed_screenshots/Issue_detail/ISSUE-05-metadata-automation-panel.png
ISSUE-03-metadata-details-panel,Quân/Metadata Panel & Detailis.png,ISSUE-03-metadata-details-panel.png,Issue detail / metadata,usable_annotated,high,1367x768,Tên gốc typo Detailis; metadata Details panel.,renamed_screenshots/Issue_detail/ISSUE-03-metadata-details-panel.png
ISSUE-04-metadata-development-panel,Quân/Metadata Panel & Development.png,ISSUE-04-metadata-development-panel.png,Issue detail / metadata,usable_annotated,high,1404x768,Metadata Development panel.,renamed_screenshots/Issue_detail/ISSUE-04-metadata-development-panel.png
ISSUE-02-metadata-status-in-progress,Quân/Metadata Panel & In progress.png,ISSUE-02-metadata-status-in-progress.png,Issue detail / metadata,usable_annotated,high,1463x792,Có khoanh đỏ; dùng để hiểu metadata panel/status.,renamed_screenshots/Issue_detail/ISSUE-02-metadata-status-in-progress.png
ISSUE-06-subtasks-section,Quân/Subtasks.png,ISSUE-06-subtasks-section.png,Issue detail / subtasks,usable_annotated,high,1366x768,Subtasks section.,renamed_screenshots/Issue_detail/ISSUE-06-subtasks-section.png
DEVELOPMENT-01-project-development-light,Tú/Development.jpeg,DEVELOPMENT-01-project-development-light.jpeg,Project tab / Development,usable,high,575x848,"Development tab light mode, kích thước hẹp/cropped.",renamed_screenshots/Project_tab/DEVELOPMENT-01-project-development-light.jpeg
DOCS-01-project-docs-list-light,Tú/Docs.jpeg,DOCS-01-project-docs-list-light.jpeg,Project tab / Docs,usable,high,1763x844,Docs tab/list light mode.,renamed_screenshots/Project_tab/DOCS-01-project-docs-list-light.jpeg
FORMS-01-project-forms-empty-light,Tú/Forms1.jpeg,FORMS-01-project-forms-empty-light.jpeg,Project tab / Forms,usable,high,1763x844,Forms landing/empty light mode.,renamed_screenshots/Project_tab/FORMS-01-project-forms-empty-light.jpeg
FORMS-02-project-forms-create-dropdown-light,Tú/Forms2_Create.jpeg,FORMS-02-project-forms-create-dropdown-light.jpeg,Project tab / Forms,usable,high,1763x844,Forms create/template dropdown.,renamed_screenshots/Project_tab/FORMS-02-project-forms-create-dropdown-light.jpeg
FORMS-03-project-forms-builder-light,Tú/Forms3_Builder.jpeg,FORMS-03-project-forms-builder-light.jpeg,Project tab / Forms,usable,high,1763x844,Forms builder/editor page.,renamed_screenshots/Project_tab/FORMS-03-project-forms-builder-light.jpeg
REPORTS-01-project-reports-light,Tú/Reports.jpeg,REPORTS-01-project-reports-light.jpeg,Project tab / Reports,usable,high,575x848,"Reports page light mode, kích thước hẹp/cropped.",renamed_screenshots/Project_tab/REPORTS-01-project-reports-light.jpeg
SUMMARY-01-project-summary-light,Tú/Summary.jpeg,SUMMARY-01-project-summary-light.jpeg,Project tab / Summary,usable,high,575x848,"Summary page light mode, kích thước hẹp/cropped.",renamed_screenshots/Project_tab/SUMMARY-01-project-summary-light.jpeg
MKT-02-jira-public-home-top,Đạt/Screenshot 2026-06-14 182308.png,MKT-02-jira-public-home-top.png,Marketing / public Jira website,out_of_scope_for_project_app,high,1910x897,Public Jira landing page top; không dùng để suy ra app UI trừ auth/landing scope.,renamed_screenshots/Marketing/MKT-02-jira-public-home-top.png
MKT-03-jira-public-features-dropdown,Đạt/Screenshot 2026-06-14 182321.png,MKT-03-jira-public-features-dropdown.png,Marketing / public Jira website,out_of_scope_for_project_app,high,1852x465,Public site Features dropdown.,renamed_screenshots/Marketing/MKT-03-jira-public-features-dropdown.png
MKT-04-jira-public-solutions-dropdown,Đạt/Screenshot 2026-06-14 182326.png,MKT-04-jira-public-solutions-dropdown.png,Marketing / public Jira website,out_of_scope_for_project_app,high,1154x445,Public site Solutions dropdown.,renamed_screenshots/Marketing/MKT-04-jira-public-solutions-dropdown.png
MKT-05-jira-public-templates-dropdown,Đạt/Screenshot 2026-06-14 182333.png,MKT-05-jira-public-templates-dropdown.png,Marketing / public Jira website,out_of_scope_for_project_app,high,1463x847,Public site Templates dropdown.,renamed_screenshots/Marketing/MKT-05-jira-public-templates-dropdown.png
AUTH-03-get-started-signup-modal,Đạt/Screenshot 2026-06-14 182341.png,AUTH-03-get-started-signup-modal.png,Authentication / signup,usable,high,1476x828,Get started with Jira modal; signup/social buttons.,renamed_screenshots/Authentication/AUTH-03-get-started-signup-modal.png
MKT-06-ai-powered-project-management-section,Đạt/Screenshot 2026-06-14 182626.png,MKT-06-ai-powered-project-management-section.png,Marketing / public Jira website,out_of_scope_for_project_app,high,1095x849,Marketing section about AI-powered project management.,renamed_screenshots/Marketing/MKT-06-ai-powered-project-management-section.png
MKT-07-tools-and-teamwork-collection-section,Đạt/Screenshot 2026-06-14 182635.png,MKT-07-tools-and-teamwork-collection-section.png,Marketing / public Jira website,out_of_scope_for_project_app,high,1258x694,Marketing integrations/teamwork collection section.,renamed_screenshots/Marketing/MKT-07-tools-and-teamwork-collection-section.png
MKT-08-jira-public-footer-cta,Đạt/Screenshot 2026-06-14 182645.png,MKT-08-jira-public-footer-cta.png,Marketing / public Jira website,out_of_scope_for_project_app,high,1018x771,Marketing footer/CTA section.,renamed_screenshots/Marketing/MKT-08-jira-public-footer-cta.png
MKT-09-public-search-overlay-bar,Đạt/Screenshot 2026-06-14 182650.png,MKT-09-public-search-overlay-bar.png,Marketing / public Jira website / search,out_of_scope_for_project_app,medium,1538x68,Public site search overlay; không thay thế in-app search popup.,renamed_screenshots/Marketing/MKT-09-public-search-overlay-bar.png
BOARD-02-project-board-dark,Đạt/Screenshot 2026-06-14 182731.png,BOARD-02-project-board-dark.png,Project tab / Board,usable,high,1911x901,"Board dark mode with project shell, columns, sprint complete button.",renamed_screenshots/Project_tab/BOARD-02-project-board-dark.png
CALENDAR-02-project-calendar-dark-unscheduled-panel,Đạt/Screenshot 2026-06-14 182737.png,CALENDAR-02-project-calendar-dark-unscheduled-panel.png,Project tab / Calendar,usable,high,1908x922,Calendar dark mode with unscheduled work right panel.,renamed_screenshots/Project_tab/CALENDAR-02-project-calendar-dark-unscheduled-panel.png
LIST-01-project-list-dark,Đạt/Screenshot 2026-06-14 182745.png,LIST-01-project-list-dark.png,Project tab / List,usable,high,1904x902,List/table view dark mode.,renamed_screenshots/Project_tab/LIST-01-project-list-dark.png
FORMS-04-project-forms-dark-create-options,Đạt/Screenshot 2026-06-14 182752.png,FORMS-04-project-forms-dark-create-options.png,Project tab / Forms,usable,high,1908x888,Forms dark mode empty/create options.,renamed_screenshots/Project_tab/FORMS-04-project-forms-dark-create-options.png
GOALS-01-project-goals-tab-dark-empty,Đạt/Screenshot 2026-06-14 182800.png,GOALS-01-project-goals-tab-dark-empty.png,Project tab / Goals,usable,high,1880x904,Goals tab in project dark mode empty/linked goals prompt.,renamed_screenshots/Project_tab/GOALS-01-project-goals-tab-dark-empty.png
DEVELOPMENT-02-project-development-dark,Đạt/Screenshot 2026-06-14 182806.png,DEVELOPMENT-02-project-development-dark.png,Project tab / Development,usable,high,1907x896,Development dark mode with metrics and related work tabs.,renamed_screenshots/Project_tab/DEVELOPMENT-02-project-development-dark.png
CODE-01-project-code-dark-empty-connect-tools,Đạt/Screenshot 2026-06-14 182812.png,CODE-01-project-code-dark-empty-connect-tools.png,Project tab / Code,usable,high,1909x899,Code dark mode empty/connect GitHub/Bitbucket.,renamed_screenshots/Project_tab/CODE-01-project-code-dark-empty-connect-tools.png
ARCHIVED-01-project-archived-work-items-dark-empty,Đạt/Screenshot 2026-06-14 182819.png,ARCHIVED-01-project-archived-work-items-dark-empty.png,Project tab / Archived work items,usable,high,1907x891,Archived work items dark mode empty state.,renamed_screenshots/Project_tab/ARCHIVED-01-project-archived-work-items-dark-empty.png
DOCS-02-project-docs-dark-confluence-card,Đạt/Screenshot 2026-06-14 182828.png,DOCS-02-project-docs-dark-confluence-card.png,Project tab / Docs,usable,high,1896x909,Docs dark mode Confluence card.,renamed_screenshots/Project_tab/DOCS-02-project-docs-dark-confluence-card.png
SUMMARY-02-project-summary-dark,Đạt/Screenshot 2026-06-14 182838.png,SUMMARY-02-project-summary-dark.png,Project tab / Summary,usable,high,1900x914,Summary dark mode with metrics/cards/activity.,renamed_screenshots/Project_tab/SUMMARY-02-project-summary-dark.png
TIMELINE-02-project-timeline-dark,Đạt/Screenshot 2026-06-14 182849.png,TIMELINE-02-project-timeline-dark.png,Project tab / Timeline,usable,high,1917x898,Timeline dark mode monthly timeline.,renamed_screenshots/Project_tab/TIMELINE-02-project-timeline-dark.png
SETTINGS-01-global-settings-menu-dark,Đạt/Screenshot 2026-06-14 182913.png,SETTINGS-01-global-settings-menu-dark.png,Global topbar / settings menu,usable,high,506x624,Settings dropdown/panel from gear icon.,renamed_screenshots/Global_topbar/SETTINGS-01-global-settings-menu-dark.png
USER-01-user-menu-dark,Đạt/Screenshot 2026-06-14 182917.png,USER-01-user-menu-dark.png,Global topbar / user menu,usable,high,303x355,User avatar menu dark mode.,renamed_screenshots/Global_topbar/USER-01-user-menu-dark.png
TEAMS-01-user-profile-overview-light,Đạt/Screenshot 2026-06-14 182931.png,TEAMS-01-user-profile-overview-light.png,Teams / profile,usable,medium,1906x901,User profile page in Teams area.,renamed_screenshots/Teams/TEAMS-01-user-profile-overview-light.png
TEAMS-02-praise-empty-light,Đạt/Screenshot 2026-06-14 182939.png,TEAMS-02-praise-empty-light.png,Teams / praise,usable,medium,1909x910,Praise empty state.,renamed_screenshots/Teams/TEAMS-02-praise-empty-light.png
TEAMS-03-team-list-light,Đạt/Screenshot 2026-06-14 182946.png,TEAMS-03-team-list-light.png,Teams / groups,usable,medium,1917x894,Team list/card light mode.,renamed_screenshots/Teams/TEAMS-03-team-list-light.png
TEAMS-04-for-you-light,Đạt/Screenshot 2026-06-14 182954.png,TEAMS-04-for-you-light.png,Teams / for you,usable,medium,1919x900,Teams For You page with people/team cards.,renamed_screenshots/Teams/TEAMS-04-for-you-light.png
GOALS-02-goal-directory-light,Đạt/Screenshot 2026-06-14 183007.png,GOALS-02-goal-directory-light.png,Goals app,usable,high,1913x902,"Standalone Goals directory/light, selected left nav: Thư mục mục tiêu.",renamed_screenshots/Goals_app/GOALS-02-goal-directory-light.png
GOALS-03-goal-following-light,Đạt/Screenshot 2026-06-14 183018.png,GOALS-03-goal-following-light.png,Goals app,usable,high,1908x909,Standalone Goals following/list state with callouts.,renamed_screenshots/Goals_app/GOALS-03-goal-following-light.png
GOALS-04-goal-status-updates-light,Đạt/Screenshot 2026-06-14 183026.png,GOALS-04-goal-status-updates-light.png,Goals app,usable,high,1914x903,Standalone Goals status updates page.,renamed_screenshots/Goals_app/GOALS-04-goal-status-updates-light.png
GOALS-05-goal-archived-light,Đạt/Screenshot 2026-06-14 183032.png,GOALS-05-goal-archived-light.png,Goals app,usable,high,1905x900,Standalone Goals archived nav state.,renamed_screenshots/Goals_app/GOALS-05-goal-archived-light.png
ACCOUNT-01-profile-and-visibility-dark,Đạt/Screenshot 2026-06-14 183346.png,ACCOUNT-01-profile-and-visibility-dark.png,Atlassian account settings,usable,medium,1906x903,Account profile & visibility dark mode; likely outside project app unless cloning account settings.,renamed_screenshots/Atlassian_account_settings/ACCOUNT-01-profile-and-visibility-dark.png
ACCOUNT-02-email-settings-dark,Đạt/Screenshot 2026-06-14 183357.png,ACCOUNT-02-email-settings-dark.png,Atlassian account settings,usable,medium,1867x893,Account email settings dark mode.,renamed_screenshots/Atlassian_account_settings/ACCOUNT-02-email-settings-dark.png
ACCOUNT-03-security-settings-dark,Đạt/Screenshot 2026-06-14 183403.png,ACCOUNT-03-security-settings-dark.png,Atlassian account settings,usable,medium,1856x901,Account security settings dark mode.,renamed_screenshots/Atlassian_account_settings/ACCOUNT-03-security-settings-dark.png
ACCOUNT-04-privacy-settings-dark,Đạt/Screenshot 2026-06-14 183409.png,ACCOUNT-04-privacy-settings-dark.png,Atlassian account settings,usable,medium,1741x547,Account privacy settings dark mode.,renamed_screenshots/Atlassian_account_settings/ACCOUNT-04-privacy-settings-dark.png
ACCOUNT-05-account-preferences-dark,Đạt/Screenshot 2026-06-14 183414.png,ACCOUNT-05-account-preferences-dark.png,Atlassian account settings,usable,medium,1917x894,Account preferences/language/timezone dark mode.,renamed_screenshots/Atlassian_account_settings/ACCOUNT-05-account-preferences-dark.png
ACCOUNT-06-connected-apps-dark,Đạt/Screenshot 2026-06-14 183420.png,ACCOUNT-06-connected-apps-dark.png,Atlassian account settings,usable,medium,1915x890,Account connected apps settings dark mode.,renamed_screenshots/Atlassian_account_settings/ACCOUNT-06-connected-apps-dark.png
ACCOUNT-07-link-preferences-dark,Đạt/Screenshot 2026-06-14 183423.png,ACCOUNT-07-link-preferences-dark.png,Atlassian account settings,usable,medium,1376x813,Account link preferences dark mode.,renamed_screenshots/Atlassian_account_settings/ACCOUNT-07-link-preferences-dark.png
ACCOUNT-08-product-settings-dark,Đạt/Screenshot 2026-06-14 183427.png,ACCOUNT-08-product-settings-dark.png,Atlassian account settings,usable,medium,1457x792,Account product settings dark mode.,renamed_screenshots/Atlassian_account_settings/ACCOUNT-08-product-settings-dark.png
META-01-google-drive-folder-not-jira,Đạt/Screenshot 2026-06-14 192103.png,META-01-google-drive-folder-not-jira.png,Not Jira / source-management screenshot,ignore,high,1917x1079,Google Drive folder screenshot; không dùng để clone Jira.,renamed_screenshots/Not_Jira/META-01-google-drive-folder-not-jira.png
